tunisianet_scrapy_persist.reference_global,tunisianet_scrapy_persist.reference_detail,tunisianet_scrapy_persist.ad_title,tunisianet_scrapy_persist.ad_url,tunisianet_scrapy_persist.marque,tunisianet_scrapy_persist.modele,tunisianet_scrapy_persist.ram,tunisianet_scrapy_persist.stockage,tunisianet_scrapy_persist.couleur,tunisianet_scrapy_persist.options,tunisianet_scrapy_persist.shop,tunisianet_scrapy_persist.ad_stocks,tunisianet_scrapy_persist.ad_price,tunisianet_scrapy_persist.date_scrapy
samsung-galaxys23plus5g,samsung-galaxys23plus5g-8go-256gb-green,Smartphone Samsung Galaxy S23 Plus / 5G / 8 Go / 256 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62261-smartphone-samsung-galaxy-s23-plus-5g-8-go-256-go-vert.html,samsung,galaxy s23 plus 5g,8go,256gb,green,,tunisianet,ONDEMAND,3999.0,28/01/2024
xiaomi-redmi124g,xiaomi-redmi124g-8go-256gb-silver,Smartphone Xiaomi Redmi 12 / 4G / 8 Go / 256 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/67463-smartphone-xiaomi-redmi-12-4g-8-go-128-go-silver.html,xiaomi,redmi 12 4g,8go,256gb,silver,,tunisianet,INSTOCK,669.0,28/01/2024
samsung-galaxya34,samsung-galaxya34-8go-128gb-green,Smartphone Samsung Galaxy A34 / 8 Go / 128 Go / Vert + Adaptateur Samsung 25W Offert,https://www.tunisianet.com.tn/smartphone-tunisie/64082-smartphone-samsung-galaxy-a34-8-go-128-go-vert.html,samsung,galaxy a34,8go,128gb,green,adaptateur samsung 25w offert,tunisianet,INSTOCK,1199.0,28/01/2024
samsung-galaxys24ultra5g,samsung-galaxys24ultra5g-12go-256gb-gold,Smartphone Samsung Galaxy S24 Ultra / 5G / 12 Go / 256 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/72298-smartphone-samsung-galaxy-s24-ultra-5g-12-go-256-go-gold.html,samsung,galaxy s24 ultra 5g,12go,256gb,gold,,tunisianet,ONDEMAND,5889.0,28/01/2024
xiaomi-redminote12,xiaomi-redminote12-8go-128gb-blue,Smartphone XIAOMI Redmi Note 12 / 8 GO / 128 GO / BLUE,https://www.tunisianet.com.tn/smartphone-tunisie/66131-smartphone-xiaomi-redmi-note-12-8-go-128-go-blue.html,xiaomi,redmi note 12,8go,128gb,blue,,tunisianet,INSTOCK,749.0,28/01/2024
xiaomi-redmi13c,xiaomi-redmi13c-4go-128gb-green,Smartphone XIAOMI Redmi 13C / 4 Go / 128 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/70820-smartphone-xiaomi-redmi-13c-4-go-128-go-vert.html,xiaomi,redmi 13c,4go,128gb,green,,tunisianet,INSTOCK,459.0,28/01/2024
vivo-y36,vivo-y36-8go-256gb-black,Smartphone Vivo Y36 / 8 Go / 256 Go / Noir avec Abonnement ott IPTV 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/69082-smartphone-vivo-y36-8-go-128-go-noir.html,vivo,y36,8go,256gb,black,avec abonnement ott iptv 12 mois offert,tunisianet,INSTOCK,729.0,28/01/2024
samsung-galaxys235g,samsung-galaxys235g-8go-256gb-cream,Smartphone Samsung Galaxy S23 / 5G / 8 Go / 256 Go / Crème,https://www.tunisianet.com.tn/smartphone-tunisie/62256-smartphone-samsung-galaxy-s23-5g-8-go-256-go-creme.html,samsung,galaxy s23 5g,8go,256gb,cream,,tunisianet,ONDEMAND,3749.0,28/01/2024
lenovo-k13note4g,lenovo-k13note4g-4go-128gb-rose,Smartphone Lenovo K13 Note / 4G / 4 Go / 128 Go / Double SIM / Rose,https://www.tunisianet.com.tn/smartphone-tunisie/56744-smartphone-lenovo-k13-note-4g-4-go-128-go-double-sim-rose.html,lenovo,k13 note 4g,4go,128gb,rose,double sim,tunisianet,INSTOCK,529.0,28/01/2024
samsung-galaxys245g,samsung-galaxys245g-8go-256gb-violet,Smartphone Samsung Galaxy S24 / 5G / 8 Go / 256 Go / Violet,https://www.tunisianet.com.tn/smartphone-tunisie/72306-smartphone-samsung-galaxy-s24-5g-8-go-256-go-violet.html,samsung,galaxy s24 5g,8go,256gb,violet,,tunisianet,INSTOCK,3979.0,28/01/2024
samsung-galaxys23plus5g,samsung-galaxys23plus5g-8go-256gb-black,Smartphone Samsung Galaxy S23 Plus / 5G / 8 Go / 256 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/62260-smartphone-samsung-galaxy-s23-plus-5g-8-go-256-go-noir.html,samsung,galaxy s23 plus 5g,8go,256gb,black,,tunisianet,ONDEMAND,3999.0,28/01/2024
vivo-v29e5g,vivo-v29e5g-8go-256gb-black,SMARTPHONE VIVO V29E 5G / 8 Go / 256 Go / Noir Avec Abonnement ott IPTV 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/70185-smartphone-vivo-v29e-5g-8-go-256-go-noir.html,vivo,v29e 5g,8go,256gb,black,avec abonnement ott iptv 12 mois offert,tunisianet,INSTOCK,1129.0,28/01/2024
samsung-galaxys24ultra5g,samsung-galaxys24ultra5g-12go-256gb-black,Smartphone Samsung Galaxy S24 Ultra / 5G / 12 Go / 256 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/72253-smartphone-samsung-galaxy-s24-ultra-5g-12-go-256-go-noir.html,samsung,galaxy s24 ultra 5g,12go,256gb,black,,tunisianet,INSTOCK,5859.0,28/01/2024
iplus-p54g,iplus-p54g-4go-128gb-black,Smartphone IPLUS P5 / 4G / 4 Go / 128 Go / Double SIM / Noir + Abonnement IPTV OTT 12 Mois Offert,https://www.tunisianet.com.tn/smartphone-tunisie/60092-smartphone-iplus-p5-4g-4-go-128-go-double-sim-noir.html,iplus,p5 4g,4go,128gb,black,double sim  abonnement iptv ott 12 mois offert,tunisianet,INSTOCK,269.0,28/01/2024
