reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
oppo-reno,oppo-reno-4go,OPPO RENO 4 PRO,https://www.ooredoo.tn/Personal/fr/accueil/1346-2096-portable-oppo-reno-4-pro-tunisie.html#/73-couleur-noir,oppo,reno,4go,,,pro,ooredooshop,INSTOCK,1599.000,2024-06-13
infinix-hot30i,infinix-hot30i-8go-128gb,INFINIX HOT 30I (8+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1337-2509-portable-infinix-hot-30i-8128go-tunisie.html#/52-couleur-blanc,infinix,hot 30i,8go,128gb,,,ooredooshop,INSTOCK,499.000,2024-06-13
infinix-smart7hd,infinix-smart7hd-2go-64gb,INFINIX SMART 7 HD (2/64GO),https://www.ooredoo.tn/Personal/fr/accueil/1340-2072-portable-infinix-smart-7-hd-2-64go-tunisie.html#/73-couleur-noir,infinix,smart 7 hd,2go,64gb,,,ooredooshop,INSTOCK,299.000,2024-06-13
infinix-hot30freefire,infinix-hot30freefire,INFINIX HOT 30 Free Fire...,https://www.ooredoo.tn/Personal/fr/accueil/1328-2516-portable-infinix-hot30-8128-tunisie.html#/52-couleur-blanc,infinix,hot 30 free fire,,,,,ooredooshop,INSTOCK,629.000,2024-06-13
samsung-a34,samsung-a34-6go-128gb,SAMSUNG A34 (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1325-2033-portable-samsung-galaxy-a34-6128go-tunisie.html#/73-couleur-noir,samsung,a34,6go,128gb,,,ooredooshop,INSTOCK,1299.000,2024-06-13
samsung-a24,samsung-a24-6go-128gb,SAMSUNG A24 (6+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1280-1973-portable-samsung-galaxy-a24-6128go-tunisie.html#/51-couleur-argent,samsung,a24,6go,128gb,,,ooredooshop,INSTOCK,1099.000,2024-06-13
samsung-a14,samsung-a14-4go-64gb,SAMSUNG A14 (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1274-1955-portable-samsung-galaxy-a14-464go-ooredoo-tunisie.html#/73-couleur-noir,samsung,a14,4go,64gb,,,ooredooshop,INSTOCK,599.000,2024-06-13
samsung-s22ultra,samsung-s22ultra,SAMSUNG S22 ULTRA,https://www.ooredoo.tn/Personal/fr/accueil/611-1949-portable-samsung-galaxy-galaxy-s22-ultra.html#/52-couleur-blanc,samsung,s22 ultra,,,,,ooredooshop,INSTOCK,4999.000,2024-06-13
samsung-a34,samsung-a34-8go-128gb,SAMSUNG A34 (8+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1271-1946-portable-samsung-galaxy-a34-8128go.html#/73-couleur-noir,samsung,a34,8go,128gb,,,ooredooshop,INSTOCK,1599.000,2024-06-13
nokia-c22nded,nokia-c22nded,NOKIA C2 2ND ED,https://www.ooredoo.tn/Personal/fr/accueil/1137-1844-portable-nokia-c2-2nd-ed-tunisie.html#/57-couleur-gris,nokia,c2 2nd ed,,,,,ooredooshop,INSTOCK,249.000,2024-06-13
xiaomi-redmi12c,xiaomi-redmi12c-3go-64gb,XIAOMI REDMI 12C 3+64GO,https://www.ooredoo.tn/Personal/fr/accueil/1247-1925-portable-xiaomi-redmi-12c-364go-tunisie.html#/57-couleur-gris,xiaomi,redmi 12c,3go,64gb,,,ooredooshop,INSTOCK,399.000,2024-06-13
infinix-smart7,infinix-smart7-4go-64gb,INFINIX SMART 7 (4/64GO),https://www.ooredoo.tn/Personal/fr/accueil/1157-1898-portable-infinix-smart-7-4-64go.html#/73-couleur-noir,infinix,smart 7,4go,64gb,,,ooredooshop,INSTOCK,379.000,2024-06-13
logicom-solar,logicom-solar-4go-64gb,LOGICOM SOLAR (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1140-1856-portable-logicom-solar-464go.html#/50-couleur-bleu,logicom,solar,4go,64gb,,,ooredooshop,INSTOCK,239.000,2024-06-13
logicom-flow,logicom-flow-2go-32gb,LOGICOM FLOW (2+32GO),https://www.ooredoo.tn/Personal/fr/accueil/1143-1853-portable-logicom-flow-232go.html#/73-couleur-noir,logicom,flow,2go,32gb,,,ooredooshop,INSTOCK,195.000,2024-06-13
infinix-hot20,infinix-hot20-4go-128gb,INFINIX HOT 20 (4-128GO),https://www.ooredoo.tn/Personal/fr/accueil/1094-1697-portable-infinix-hot-20-4-128go.html#/8-couleur-blanc,infinix,hot 20,4go,128gb,,,ooredooshop,INSTOCK,629.000,2024-06-13
samsung-a04s,samsung-a04s-4go-64gb,SAMSUNG A04S (4+64GO),https://www.ooredoo.tn/Personal/fr/accueil/1113-2560-portable-samsung-galaxy-a04s-464go.html#/52-couleur-blanc,samsung,a04s,4go,64gb,,,ooredooshop,INSTOCK,479.000,2024-06-13
apple-iphone14plus,apple-iphone14plus-128gb,iPhone 14 Plus 128GB,https://www.ooredoo.tn/Personal/fr/accueil/1091-1691-portable-iphone-14-128gb.html#/50-couleur-bleu,apple,iphone 14 plus,,128gb,,,ooredooshop,INSTOCK,5929.000,2024-06-13
itel-a58pro4g,itel-a58pro4g,ITEL A58 PRO 4G,https://www.ooredoo.tn/Personal/fr/accueil/1082-1679-portable-itel-a58-pro-4g.html#/11-couleur-noir,itel,a58 pro,4g,,,,ooredooshop,INSTOCK,299.000,2024-06-13
