reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
samsung-galaxya05s,samsung-galaxya05s-6go-128gb-silver,Smartphone Samsung Galaxy A05S / 6 Go / 128 Go / Silver,https://www.tunisianet.com.tn/smartphone-tunisie/72446-smartphone-samsung-galaxy-a05s-6-go-128-go-silver.html,samsung,galaxy a05s,6go,128gb,silver,,tunisianet,INSTOCK,579.000,2024-06-13
xiaomi-redmi12,xiaomi-redmi12-8go-256gb-midnightblack,Smartphone XIAOMI Redmi 12 / 8 Go / 256 Go / Midnight Black,https://www.tunisianet.com.tn/smartphone-tunisie/69900-smartphone-xiaomi-redmi-12-8-go-256-go-midnight-black.html,xiaomi,redmi 12,8go,256gb,midnight black,,tunisianet,INSTOCK,599.000,2024-06-13
xiaomi-redmi13c,xiaomi-redmi13c-8go-256gb-blue,Smartphone XIAOMI Redmi 13C / 8 Go / 256 Go / Bleu + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/70825-smartphone-xiaomi-redmi-13c-8-go-256-go-bleu.html,xiaomi,redmi 13c,8go,256gb,blue,abonnement offert,tunisianet,INSTOCK,599.000,2024-06-13
oppo-a384g,oppo-a384g-6go-128gb-gold,Smartphone Oppo A38 / 4G / 6 Go / 128 Go / Gold,https://www.tunisianet.com.tn/smartphone-tunisie/75074-smartphone-oppo-a38-4g-4-go-128-go-noir.html,oppo,a38 4g,6go,128gb,gold,,tunisianet,INSTOCK,599.000,2024-06-13
samsung-galaxya05s,samsung-galaxya05s-6go-128gb-black,Smartphone Samsung Galaxy A05S / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/72445-smartphone-samsung-galaxy-a05s-6-go-128-go-noir.html,samsung,galaxy a05s,6go,128gb,black,,tunisianet,INSTOCK,599.000,2024-06-13
xiaomi-redmi124g,xiaomi-redmi124g-8go-256gb-blue,Smartphone Xiaomi Redmi 12 / 4G / 8 Go / 256 Go / Bleu,https://www.tunisianet.com.tn/smartphone-tunisie/67465-smartphone-xiaomi-redmi-12-4g-8-go-256-go-bleu.html,xiaomi,redmi 12 4g,8go,256gb,blue,,tunisianet,ONDEMAND,599.000,2024-06-13
samsung-galaxya14,samsung-galaxya14-4go-64gb-green,Smartphone Samsung Galaxy A14 / 4 Go / 64 Go / Vert,https://www.tunisianet.com.tn/smartphone-tunisie/62987-smartphone-samsung-galaxy-a14-4-go-64-go-vert.html,samsung,galaxy a14,4go,64gb,green,,tunisianet,ONDEMAND,599.000,2024-06-13
oppo-a384g,oppo-a384g-6go-128gb-black,Smartphone Oppo A38 / 4G / 6 Go / 128 Go / Noir,https://www.tunisianet.com.tn/smartphone-tunisie/75073-smartphone-oppo-a38-4g-8-go-128-go-noir-un-abonnement-ott-pro-12-mois-offert.html,oppo,a38 4g,6go,128gb,black,,tunisianet,INSTOCK,599.000,2024-06-13
xiaomi-redmi13c,xiaomi-redmi13c-8go-256gb-black,Smartphone XIAOMI Redmi 13C / 8 Go / 256 Go / Noir + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/70826-smartphone-xiaomi-redmi-13c-8-go-256-go-noir-abonnement-offert.html,xiaomi,redmi 13c,8go,256gb,black,abonnement offert,tunisianet,INSTOCK,599.000,2024-06-13
xiaomi-redmi13c,xiaomi-redmi13c-8go-256gb-white,Smartphone XIAOMI Redmi 13C / 8 Go / 256 Go / Blanc + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/70827-smartphone-xiaomi-redmi-13c-8-go-256-go-blanc-abonnement-offert.html,xiaomi,redmi 13c,8go,256gb,white,abonnement offert,tunisianet,INSTOCK,599.000,2024-06-13
xiaomi-redmi13c,xiaomi-redmi13c-8go-256gb-green,Smartphone XIAOMI Redmi 13C / 8 Go / 256 Go / Vert + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/70847-smartphone-xiaomi-redmi-13c-8-go-256-go-vert-abonnement-offert.html,xiaomi,redmi 13c,8go,256gb,green,abonnement offert,tunisianet,INSTOCK,599.000,2024-06-13
xiaomi-redmi124g,xiaomi-redmi124g-8go-128gb-blue,Smartphone Xiaomi Redmi 12 / 4G / 8 Go / 128 Go / Bleu + Abonnement Offert,https://www.tunisianet.com.tn/smartphone-tunisie/66390-smartphone-xiaomi-redmi-12-4g-8-go-128-go-bleu-abonnement-offert.html,xiaomi,redmi 12 4g,8go,128gb,blue,abonnement offert,tunisianet,INSTOCK,599.000,2024-06-13
