ooredooshop_scrapy_persist.reference_global,ooredooshop_scrapy_persist.reference_detail,ooredooshop_scrapy_persist.ad_title,ooredooshop_scrapy_persist.ad_url,ooredooshop_scrapy_persist.marque,ooredooshop_scrapy_persist.modele,ooredooshop_scrapy_persist.ram,ooredooshop_scrapy_persist.stockage,ooredooshop_scrapy_persist.couleur,ooredooshop_scrapy_persist.options,ooredooshop_scrapy_persist.shop,ooredooshop_scrapy_persist.ad_stocks,ooredooshop_scrapy_persist.ad_price,ooredooshop_scrapy_persist.date_scrapy
oppo-reno8t4g,oppo-reno8t4g-8go-256gb,OPPO RENO 8T 4G (8+256G),https://www.ooredoo.tn/Personal/fr/accueil/1163-1865-portable-oppo-reno-8t-4g-8256g-tunisie.html#/73-couleur-noir,oppo,reno 8t 4g,8go,256gb,,,ooredooshop,INSTOCK,1249.0,05/11/2023
oppo-reno8t5g,oppo-reno8t5g-8go-256gb,OPPO RENO 8T 5G (8+256G),https://www.ooredoo.tn/Personal/fr/accueil/1172-1859-portable-oppo-reno-8t-5g-8256g-tunisie.html#/73-couleur-noir,oppo,reno 8t 5g,8go,256gb,,,ooredooshop,INSTOCK,1799.0,05/11/2023
vivo-y02,vivo-y02-3go-32gb,VIVO Y02 (3+32 GO),https://www.ooredoo.tn/Personal/fr/accueil/1502-2212-portable-vivo-y02-332-go.html#/57-couleur-gris,vivo,y02,3go,32gb,,,ooredooshop,INSTOCK,399.0,05/11/2023
infinix-smart6plus,infinix-smart6plus-2go-64gb,INFINIX SMART 6 PLUS  2+64GO,https://www.ooredoo.tn/Personal/fr/accueil/1110-1827-portable-infinix-smart-6-plus-264go.html#/14-couleur-bleu,infinix,smart 6 plus,2go,64gb,,,ooredooshop,INSTOCK,329.0,05/11/2023
oppo-reno4pro,oppo-reno4pro,OPPO RENO 4 PRO,https://www.ooredoo.tn/Personal/fr/accueil/1346-2096-portable-oppo-reno-4-pro-tunisie.html#/73-couleur-noir,oppo,reno 4 pro,,,,,ooredooshop,INSTOCK,1599.0,05/11/2023
xiaomi-12,xiaomi-12,Xiaomi 12 + Buds 3 Pro,https://www.ooredoo.tn/Personal/fr/accueil/785-1124-portable-xiaomi-12-12256go-buds-3-pro.html#/57-couleur-gris,xiaomi,12,,,,buds 3 pro,ooredooshop,INSTOCK,3199.0,05/11/2023
itel-s23,itel-s23-8go-128gb,ITEL S23 (8+128G),https://www.ooredoo.tn/Personal/fr/accueil/1639-2388-portable-itel-s23-8128g.html#/52-couleur-blanc,itel,s23,8go,128gb,,,ooredooshop,INSTOCK,459.0,05/11/2023
itel-s23,itel-s23-4go-128gb,ITEL S23 (4+128G),https://www.ooredoo.tn/Personal/fr/accueil/1636-2391-portable-itel-s23-4128g.html#/73-couleur-noir,itel,s23,4go,128gb,,,ooredooshop,INSTOCK,409.0,05/11/2023
samsung-galaxya04e,samsung-galaxya04e-3go-64gb,SAMSUNG GALAXY A04E 3+64GO,https://www.ooredoo.tn/Personal/fr/accueil/1654-2406-portable-samsung-galaxy-a04e-364go.html#/14-couleur-bleu,samsung,galaxy a04e,3go,64gb,,,ooredooshop,INSTOCK,399.0,05/11/2023
oppo-a58,oppo-a58-8go-128gb,OPPO A58 (8+128G),https://www.ooredoo.tn/Personal/fr/accueil/1648-2400-portable-oppo-a58-8128g.html#/73-couleur-noir,oppo,a58,8go,128gb,,,ooredooshop,INSTOCK,699.0,05/11/2023
oppo-a38,oppo-a38-4go-128gb,OPPO A38 (4+128G),https://www.ooredoo.tn/Personal/fr/accueil/1525-2316-portable-oppo-a38-4128g.html#/49-couleur-blanc_dore,oppo,a38,4go,128gb,,,ooredooshop,INSTOCK,599.0,05/11/2023
xiaomi-redminote12,xiaomi-redminote12-4go-128gb,XIAOMI REDMI NOTE 12 (4+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1666-2415-portable-xiaomi-redmi-note-12-4128go.html#/57-couleur-gris,xiaomi,redmi note 12,4go,128gb,,,ooredooshop,INSTOCK,779.0,05/11/2023
xiaomi-redmi12,xiaomi-redmi12-4go-128gb,XIAOMI REDMI 12 (4+128GO),https://www.ooredoo.tn/Personal/fr/accueil/1663-2412-portable-xiaomi-redmi-12-4128go.html#/73-couleur-noir,xiaomi,redmi 12,4go,128gb,,,ooredooshop,INSTOCK,599.0,05/11/2023
xiaomi-redminote10pro,xiaomi-redminote10pro,Xiaomi Redmi Note 10 Pro...,https://www.ooredoo.tn/Personal/fr/accueil/333-2218-portable-xiaomi-redmi-note-10-pro-8-128go.html#/14-couleur-bleu,xiaomi,redmi note 10 pro,,,,,ooredooshop,INSTOCK,1069.0,05/11/2023
xiaomi-redmi9a,xiaomi-redmi9a-2go-32gb,Xiaomi Redmi 9A (2-32Go),https://www.ooredoo.tn/Personal/fr/accueil/336-809-portable-xiaomi-redmi-9a-232g.html#/50-couleur-bleu,xiaomi,redmi 9a,2go,32gb,,,ooredooshop,INSTOCK,349.0,05/11/2023
