reference_global,reference_detail,ad_title,ad_url,marque,modele,ram,stockage,couleur,options,shop,ad_stocks,ad_price,date_scrapy
samsung-galaxya02,samsung-galaxya02-64gb,Galaxy A02 (64Go),https://www.samsungshop.tn/galaxy-a/1461-2402-galaxy-a02-64go-tunisie.html#/14-couleur-bleu,samsung,galaxy a02,,64gb,,,samsungshop,INSTOCK,499.000,2024-06-13
samsung-galaxya02,samsung-galaxya02-32gb,Galaxy A02 (32Go),https://www.samsungshop.tn/galaxy-a/1460-2400-galaxy-a02-32go-tunisie.html#/33-couleur-rouge,samsung,galaxy a02,,32gb,,,samsungshop,INSTOCK,469.000,2024-06-13
samsung-galaxya724g,samsung-galaxya724g,Galaxy A72 4G,https://www.samsungshop.tn/galaxy-a/1458-2390-galaxy-a72-4g-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a72 4g,,,,,samsungshop,INSTOCK,1649.000,2024-06-13
samsung-galaxya02s,samsung-galaxya02s-64gb,Samsung Galaxy A02s (64GO),https://www.samsungshop.tn/galaxy-a/1450-2486-samsung-galaxy-a02s-64go-tunisie.html#/33-couleur-rouge,samsung,galaxy a02s,,64gb,,,samsungshop,INSTOCK,479.000,2024-06-13
samsung-galaxya02s,samsung-galaxya02s-32gb,Samsung Galaxy A02s  (32GO),https://www.samsungshop.tn/galaxy-a/1449-2365-samsung-galaxy-a02s-tunisie.html#/14-couleur-bleu,samsung,galaxy a02s,,32gb,,,samsungshop,INSTOCK,429.000,2024-06-13
samsung-galaxya324g,samsung-galaxya324g,Samsung Galaxy A32 4G,https://www.samsungshop.tn/galaxy-a/1448-2363-samsung-galaxy-a32-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a32 4g,,,,,samsungshop,INSTOCK,1129.000,2024-06-13
samsung-galaxya12,samsung-galaxya12-128gb,Galaxy A12 128GO,https://www.samsungshop.tn/galaxy-a/1432-2330-galaxy-a12-128go-tunisie.html#/14-couleur-bleu,samsung,galaxy a12,,128gb,,,samsungshop,INSTOCK,729.000,2024-06-13
samsung-galaxya12,samsung-galaxya12-64gb,Galaxy A12 64GO,https://www.samsungshop.tn/galaxy-a/1431-2328-samsung-a12-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a12,,64gb,,,samsungshop,INSTOCK,679.000,2024-06-13
samsung-galaxys21ultra5g,samsung-galaxys21ultra5g,Galaxy S21 Ultra 5G,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1408-2253-galaxy-s21-ultra-5g-prix-tunisie.html#/44-couleur-gris,samsung,galaxy s21 ultra 5g,,,,,samsungshop,INSTOCK,4299.000,2024-06-13
samsung-galaxys215g,samsung-galaxys215g,Galaxy S21 5G,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1406-2247-galaxy-s21-5g-prix-tunisie.html#/44-couleur-gris,samsung,galaxy s21 5g,,,,,samsungshop,INSTOCK,3699.000,2024-06-13
samsung-galaxyzfold2,samsung-galaxyzfold2,Galaxy Z Fold2,https://www.samsungshop.tn/galaxy-z-prix-tunisie/1356-2179-galaxy-z-fold-2-tunisie.html#/49-couleur-midnight_black,samsung,galaxy z fold2,,,,,samsungshop,INSTOCK,7199.000,2024-06-13
samsung-galaxya01core,samsung-galaxya01core,Galaxy A01 Core,https://www.samsungshop.tn/galaxy-a/1341-2142-samsung-galaxy-a01-core-prix-tunisie.html#/14-couleur-bleu,samsung,galaxy a01 core,,,,,samsungshop,INSTOCK,249.000,2024-06-13
samsung-galaxya21s4g,samsung-galaxya21s4g-128gb,Galaxy A21s 4G (128 Go),https://www.samsungshop.tn/galaxy-a/1290-2083-galaxy-a21s-tunisie.html#/8-couleur-blanc,samsung,galaxy a21s 4g,,128gb,,,samsungshop,INSTOCK,699.000,2024-06-13
samsung-galaxys10lite,samsung-galaxys10lite,Galaxy S10 Lite,https://www.samsungshop.tn/galaxy-s-prix-tunisie/1263-2036-galaxy-s10-lite-tunisie.html#/14-couleur-bleu,samsung,galaxy s10 lite,,,,,samsungshop,INSTOCK,2299.000,2024-06-13
samsung-galaxya71,samsung-galaxya71,Galaxy A71,https://www.samsungshop.tn/galaxy-a/1262-2033-samsung-galaxy-a71-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a71,,,,,samsungshop,INSTOCK,1599.000,2024-06-13
samsung-galaxynote10lite,samsung-galaxynote10lite,Galaxy Note10 Lite,https://www.samsungshop.tn/galaxy-note/1260-2026-samsung-galaxy-note10-lite-tunisie.html#/11-couleur-noir,samsung,galaxy note10 lite,,,,,samsungshop,INSTOCK,1999.000,2024-06-13
samsung-galaxyzflip,samsung-galaxyzflip,Samsung Galaxy ZFlip,https://www.samsungshop.tn/galaxy-z-prix-tunisie/1256-2018-samsung-galaxy-zflip-tunisie.html#/49-couleur-midnight_black,samsung,galaxy zflip,,,,,samsungshop,INSTOCK,5199.000,2024-06-13
samsung-galaxya51,samsung-galaxya51,Galaxy A51,https://www.samsungshop.tn/galaxy-a/1240-1986-galaxy-a51-samsung-tunisie-prix.html#/11-couleur-noir,samsung,galaxy a51,,,,,samsungshop,INSTOCK,1139.000,2024-06-13
samsung-galaxynote10plus,samsung-galaxynote10plus,Samsung Galaxy Note10 plus,https://www.samsungshop.tn/galaxy-note/1190-1918-samsung-galaxy-note-10-plus.html#/8-couleur-blanc,samsung,galaxy note10 plus,,,,,samsungshop,INSTOCK,3499.000,2024-06-13
samsung-galaxynote10,samsung-galaxynote10,Samsung Galaxy Note10,https://www.samsungshop.tn/galaxy-note/1189-1915-samsung-galaxy-note-10.html#/8-couleur-blanc,samsung,galaxy note10,,,,,samsungshop,INSTOCK,3599.000,2024-06-13
samsung-galaxya80,samsung-galaxya80,Galaxy A80,https://www.samsungshop.tn/galaxy-a/1175-1900-samsung-a80-prix-tunisie.html#/11-couleur-noir,samsung,galaxy a80,,,,,samsungshop,INSTOCK,2339.100,2024-06-13
samsung-galaxya70,samsung-galaxya70,Galaxy A70,https://www.samsungshop.tn/galaxy-a/1134-1832-galaxy-a70.html#/11-couleur-noir,samsung,galaxy a70,,,,,samsungshop,INSTOCK,1599.000,2024-06-13
