mytek_scrapy_persist.reference_global,mytek_scrapy_persist.reference_detail,mytek_scrapy_persist.ad_title,mytek_scrapy_persist.ad_url,mytek_scrapy_persist.marque,mytek_scrapy_persist.modele,mytek_scrapy_persist.ram,mytek_scrapy_persist.stockage,mytek_scrapy_persist.couleur,mytek_scrapy_persist.options,mytek_scrapy_persist.shop,mytek_scrapy_persist.ad_stocks,mytek_scrapy_persist.ad_price,mytek_scrapy_persist.date_scrapy
samsung-galaxya545g,samsung-galaxya545g-8go-128gb-black,Smartphone SAMSUNG GALAXY A54 5G 8Go 128Go - Noir,https://www.mytek.tn/smartphone-samsung-galaxy-a54-5g-8go-128go-noir.html,samsung,galaxy a54 5g,8go,128gb,black,,mytek,INSTOCK,1999.0,2023-11-05
huawei-nova11,huawei-nova11-8go-256gb-black,Smartphone HUAWEI Nova 11 8Go 256Go - Noir,https://www.mytek.tn/smartphone-huawei-nova-11-8go-256go-noir.html,huawei,nova 11,8go,256gb,black,,mytek,INSTOCK,2274.0,2023-11-05
huawei-nova11,huawei-nova11-8go-256gb-green,Smartphone HUAWEI Nova 11 8Go 256Go - Vert,https://www.mytek.tn/smartphone-huawei-nova-11-8go-256g-vert.html,huawei,nova 11,8go,256gb,green,,mytek,INSTOCK,2274.0,2023-11-05
huawei-nova11,huawei-nova11-8go-256gb-green,Smartphone HUAWEI Nova 11 8Go 256Go Vert + Freebuds 5,https://www.mytek.tn/smartphone-huawei-nova-11-8go-256go.html,huawei,nova 11,8go,256gb,green,freebuds 5,mytek,INSTOCK,2474.0,2023-11-05
huawei-nova11pro,huawei-nova11pro-8go-256gb-green,Smartphone HUAWEI Nova 11 Pro 8Go 256Go - Vert,https://www.mytek.tn/smartphone-huawei-nova-11-pro-8go-256go-vert.html,huawei,nova 11 pro,8go,256gb,green,,mytek,INSTOCK,2589.0,2023-11-05
huawei-nova11pro,huawei-nova11pro-8go-256gb-black,Smartphone HUAWEI Nova 11 Pro 8Go 256Go - Noir,https://www.mytek.tn/smartphone-huawei-nova-11-pro-8go-256go-noir.html,huawei,nova 11 pro,8go,256gb,black,,mytek,INSTOCK,2589.0,2023-11-05
huawei-nova11pro,huawei-nova11pro-8go-256gb-black,Smartphone HUAWEI Nova 11 Pro 8Go 256Go Noir + Freebuds 5,https://www.mytek.tn/smartphone-huawei-nova-11-pro-8go-256go-noir-freebuds-5.html,huawei,nova 11 pro,8go,256gb,black,freebuds 5,mytek,INSTOCK,2974.0,2023-11-05
samsung-galaxys23,samsung-galaxys23-8go-256gb-green,Smartphone SAMSUNG Galaxy S23 8Go 256Go - Vert,https://www.mytek.tn/smartphone-samsung-galaxy-s23-8go-256go-vert.html,samsung,galaxy s23,8go,256gb,green,,mytek,INSTOCK,3999.0,2023-11-05
samsung-galaxys23,samsung-galaxys23-8go-256gb-violet,Smartphone SAMSUNG Galaxy S23 8Go 256Go - Violet,https://www.mytek.tn/smartphone-samsung-galaxy-s23-8go-256go-violet.html,samsung,galaxy s23,8go,256gb,violet,,mytek,INSTOCK,3999.0,2023-11-05
samsung-galaxys23,samsung-galaxys23-8go-256gb-black,Smartphone SAMSUNG Galaxy S23 8Go 256Go - Noir,https://www.mytek.tn/smartphone-samsung-galaxy-s23-8go-256go-noir.html,samsung,galaxy s23,8go,256gb,black,,mytek,INSTOCK,3999.0,2023-11-05
samsung-galaxys23plus,samsung-galaxys23plus-8go-256gb-violet,Smartphone SAMSUNG Galaxy S23 Plus 8Go 256Go - Violet,https://www.mytek.tn/smartphone-samsung-galaxy-s23-plus-8go-256go-violet.html,samsung,galaxy s23 plus,8go,256gb,violet,,mytek,INSTOCK,4559.0,2023-11-05
samsung-galaxys23plus,samsung-galaxys23plus-8go-256gb-beige,Smartphone SAMSUNG Galaxy S23 Plus 8Go 256Go - Beige,https://www.mytek.tn/smartphone-samsung-galaxy-s23-plus-8go-256go-beige.html,samsung,galaxy s23 plus,8go,256gb,beige,,mytek,INSTOCK,4559.0,2023-11-05
samsung-galaxys23plus,samsung-galaxys23plus-8go-256gb-green,Smartphone SAMSUNG Galaxy S23 Plus 8Go 256Go - Vert,https://www.mytek.tn/smartphone-samsung-galaxy-s23-plus-8go-256go-vert.html,samsung,galaxy s23 plus,8go,256gb,green,,mytek,INSTOCK,4559.0,2023-11-05
