spacenet_scrapy_persist.reference_global,spacenet_scrapy_persist.reference_detail,spacenet_scrapy_persist.ad_title,spacenet_scrapy_persist.ad_url,spacenet_scrapy_persist.marque,spacenet_scrapy_persist.modele,spacenet_scrapy_persist.ram,spacenet_scrapy_persist.stockage,spacenet_scrapy_persist.couleur,spacenet_scrapy_persist.options,spacenet_scrapy_persist.shop,spacenet_scrapy_persist.ad_stocks,spacenet_scrapy_persist.ad_price,spacenet_scrapy_persist.date_scrapy
infinix-note30vip,infinix-note30vip-12go-256gb-black,Smartphone Infinix Note 30 VIP 12Go 256Go Noir,https://spacenet.tn/smartphone-tunisie/58597-smartphone-infinix-note-30-vip-12go-256go-noir.html,infinix,note 30 vip,12go,256gb,black,,spacenet,RETIRED,1299.0,13/01/2024
infinix-note30vip,infinix-note30vip-12go-256gb-white,Smartphone Infinix Note 30 VIP 12Go 256Go Blanc,https://spacenet.tn/smartphone-tunisie/58598-smartphone-infinix-note-30-vip-12go-256go-blanc.html,infinix,note 30 vip,12go,256gb,white,,spacenet,RETIRED,1299.0,13/01/2024
infinix-smart7,infinix-smart7-2go-64gb-blue,Smartphone Infinix Smart 7 2Go 64Go Bleu,https://spacenet.tn/smartphone-tunisie/57669-smartphone-infinix-smart-7-2go-64go-bleu.html,infinix,smart 7,2go,64gb,blue,,spacenet,RETIRED,279.0,13/01/2024
infinix-smart7,infinix-smart7-2go-64gb-green,Smartphone Infinix Smart 7 2Go 64Go Vert,https://spacenet.tn/smartphone-tunisie/57666-smartphone-infinix-smart-7-2go-64go-vert.html,infinix,smart 7,2go,64gb,green,,spacenet,RETIRED,279.0,13/01/2024
infinix-smart7,infinix-smart7-2go-64gb-white,Smartphone Infinix Smart 7 2Go 64Go Blanc,https://spacenet.tn/smartphone-tunisie/57665-smartphone-infinix-smart-7-2go-64go-blanc.html,infinix,smart 7,2go,64gb,white,,spacenet,RETIRED,279.0,13/01/2024
itel-a18,itel-a18-1go-32gb-blue,Smartphone Itel A18 1Go 32Go Bleu,https://spacenet.tn/smartphone-tunisie/58653-smartphone-itel-a18-1go-32go-bleu.html,itel,a18,1go,32gb,blue,,spacenet,RETIRED,189.0,13/01/2024
itel-s23,itel-s23-4go-128gb-black,Smartphone Itel S23 4Go 128Go Noir,https://spacenet.tn/smartphone-tunisie/57601-smartphone-itel-s23-4go-128go-noir.html,itel,s23,4go,128gb,black,,spacenet,RETIRED,359.0,13/01/2024
samsung-galaxys23,samsung-galaxys23-8go-256gb-black,Smartphone Samsung Galaxy S23 8Go 256Go Noir,https://spacenet.tn/smartphone-tunisie/54260-smartphone-samsung-galaxy-s23-8go-256go-noir.html,samsung,galaxy s23,8go,256gb,black,,spacenet,RETIRED,3799.0,13/01/2024
samsung-galaxys23,samsung-galaxys23-8go-256gb-black,Smartphone Samsung Galaxy S23+ 8Go 256Go Noir,https://spacenet.tn/smartphone-tunisie/54267-smartphone-samsung-galaxy-s23-8go-256go-noir.html,samsung,galaxy s23,8go,256gb,black,,spacenet,RETIRED,4299.0,13/01/2024
samsung-galaxys23,samsung-galaxys23-8go-256gb-violet,Smartphone Samsung Galaxy S23+ 8Go 256Go Violet,https://spacenet.tn/smartphone-tunisie/54262-smartphone-samsung-galaxy-s23-8go-256go-violet.html,samsung,galaxy s23,8go,256gb,violet,,spacenet,RETIRED,4599.0,13/01/2024
